datetime,temperature,humidity,city
2024-10-07 06:00:00,12.63,91,London
2024-10-07 09:00:00,14.28,84,London
2024-10-07 12:00:00,17.54,63,London
2024-10-07 15:00:00,17.96,57,London
2024-10-07 18:00:00,15.11,81,London
2024-10-07 21:00:00,14.2,89,London
2024-10-08 00:00:00,13.88,92,London
2024-10-08 03:00:00,13.21,92,London
2024-10-08 06:00:00,12.93,92,London
2024-10-08 09:00:00,14.06,88,London
2024-10-08 12:00:00,16.87,71,London
2024-10-08 15:00:00,16.65,71,London
2024-10-08 18:00:00,14.7,81,London
2024-10-08 21:00:00,14.6,83,London
2024-10-09 00:00:00,13.85,87,London
2024-10-09 03:00:00,14.04,82,London
2024-10-09 06:00:00,12.53,91,London
2024-10-09 09:00:00,13.06,89,London
2024-10-09 12:00:00,16.13,71,London
2024-10-09 15:00:00,16.01,70,London
2024-10-09 18:00:00,14.67,79,London
2024-10-09 21:00:00,13.13,81,London
2024-10-10 00:00:00,12.08,82,London
2024-10-10 03:00:00,10.71,81,London
2024-10-10 06:00:00,9.72,80,London
2024-10-10 09:00:00,9.23,77,London
2024-10-10 12:00:00,9.04,78,London
2024-10-10 15:00:00,7.89,82,London
2024-10-10 18:00:00,7.63,86,London
2024-10-10 21:00:00,7.72,81,London
2024-10-11 00:00:00,6.54,82,London
2024-10-11 03:00:00,6.09,83,London
2024-10-11 06:00:00,6.04,79,London
2024-10-11 09:00:00,7.71,60,London
2024-10-11 12:00:00,10.53,42,London
2024-10-11 15:00:00,10.94,41,London
2024-10-11 18:00:00,9.27,54,London
2024-10-11 21:00:00,8.16,62,London
2024-10-12 00:00:00,7.19,68,London
2024-10-12 03:00:00,6.46,74,London
2024-10-07 06:00:00,18.66,69,New York
2024-10-07 09:00:00,18.21,76,New York
2024-10-07 12:00:00,17.26,86,New York
2024-10-07 15:00:00,18.99,68,New York
2024-10-07 18:00:00,22.36,39,New York
2024-10-07 21:00:00,21.59,37,New York
2024-10-08 00:00:00,18.71,44,New York
2024-10-08 03:00:00,16.32,50,New York
2024-10-08 06:00:00,14.62,53,New York
2024-10-08 09:00:00,13.63,53,New York
2024-10-08 12:00:00,13.22,56,New York
2024-10-08 15:00:00,17.03,39,New York
2024-10-08 18:00:00,20.11,29,New York
2024-10-08 21:00:00,20.21,31,New York
2024-10-09 00:00:00,18.61,38,New York
2024-10-09 03:00:00,16.53,42,New York
2024-10-09 06:00:00,14.8,46,New York
2024-10-09 09:00:00,13.73,49,New York
2024-10-09 12:00:00,13.28,50,New York
2024-10-09 15:00:00,16.72,35,New York
2024-10-09 18:00:00,20.62,30,New York
2024-10-09 21:00:00,20.77,27,New York
2024-10-10 00:00:00,18.84,39,New York
2024-10-10 03:00:00,18.38,45,New York
2024-10-10 06:00:00,16.37,50,New York
2024-10-10 09:00:00,14.27,51,New York
2024-10-10 12:00:00,11.41,55,New York
2024-10-10 15:00:00,13.9,40,New York
2024-10-10 18:00:00,17.32,29,New York
2024-10-10 21:00:00,17.68,30,New York
2024-10-11 00:00:00,14.65,40,New York
2024-10-11 03:00:00,12.79,46,New York
2024-10-11 06:00:00,10.65,52,New York
2024-10-11 09:00:00,10.18,53,New York
2024-10-11 12:00:00,10.03,54,New York
2024-10-11 15:00:00,13.36,44,New York
2024-10-11 18:00:00,16.87,33,New York
2024-10-11 21:00:00,17.6,38,New York
2024-10-12 00:00:00,17.04,42,New York
2024-10-12 03:00:00,15.47,45,New York
2024-10-07 15:00:00,24.48,54,Tokyo
2024-10-07 18:00:00,21.9,80,Tokyo
2024-10-07 21:00:00,21.12,78,Tokyo
2024-10-08 00:00:00,20.61,80,Tokyo
2024-10-08 03:00:00,19.63,80,Tokyo
2024-10-08 06:00:00,18.27,83,Tokyo
2024-10-08 09:00:00,17.05,81,Tokyo
2024-10-08 12:00:00,16.75,82,Tokyo
2024-10-08 15:00:00,17.15,83,Tokyo
2024-10-08 18:00:00,16.57,86,Tokyo
2024-10-08 21:00:00,16.24,86,Tokyo
2024-10-09 00:00:00,16.02,87,Tokyo
2024-10-09 03:00:00,16.8,81,Tokyo
2024-10-09 06:00:00,18.45,70,Tokyo
2024-10-09 09:00:00,18.64,74,Tokyo
2024-10-09 12:00:00,18.26,73,Tokyo
2024-10-09 15:00:00,17.94,72,Tokyo
2024-10-09 18:00:00,17.57,73,Tokyo
2024-10-09 21:00:00,16.64,73,Tokyo
2024-10-10 00:00:00,18.11,62,Tokyo
2024-10-10 03:00:00,19.63,63,Tokyo
2024-10-10 06:00:00,20.19,56,Tokyo
2024-10-10 09:00:00,18.99,55,Tokyo
2024-10-10 12:00:00,17.55,57,Tokyo
2024-10-10 15:00:00,16.63,58,Tokyo
2024-10-10 18:00:00,16.32,58,Tokyo
2024-10-10 21:00:00,16.02,60,Tokyo
2024-10-11 00:00:00,18.26,51,Tokyo
2024-10-11 03:00:00,21.06,42,Tokyo
2024-10-11 06:00:00,22.75,39,Tokyo
2024-10-11 09:00:00,20.58,55,Tokyo
2024-10-11 12:00:00,19.61,62,Tokyo
2024-10-11 15:00:00,18.96,65,Tokyo
2024-10-11 18:00:00,18.49,67,Tokyo
2024-10-11 21:00:00,18.31,66,Tokyo
2024-10-12 00:00:00,19.84,58,Tokyo
2024-10-12 03:00:00,21.8,48,Tokyo
